title,Russian Translation ,Turkish Translation ,content,positive,negative,neutral,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
belay,страховка,volta etmek,belay,0,0,neu,0,0,0,0,0,0,0,0
belief,вера,inanç,inanc,0,0,neu,0,0,0,0,0,0,0,0
believed,"Считается,",iman,inanırdı,0,0,neu,0,0,0,0,0,0,0,tru
believer,верующий,inançlı,mömin,0,0,neu,0,0,0,0,0,0,0,tru
believing,"полагая,",inanan,inanan,pos,0,0,0,0,0,0,0,0,0,tru
belittle,умалять,küçümsemek,alçaltmaq,0,neg,0,ang,0,dis,fea,0,sad,0,0
bell,колокол,çan,zəng,0,0,neu,0,0,0,0,0,0,0,0
belligerent,воинственный,kavgacı,döyüşçü,0,neg,0,ang,0,0,fea,0,0,0,0
bellow,рев,feryat,körük,0,0,neu,0,0,0,0,0,0,0,0
bellows,сильфон,körük,körüklər,0,0,neu,ang,0,0,0,0,0,0,0
belly,живот,göbek,qarın,0,0,neu,0,0,0,0,0,0,0,0
belongings,вещи,eşya,əşyalar,0,0,neu,0,0,0,0,0,0,0,0
belt,ремень,kemer,kəmər,0,neg,0,ang,0,0,fea,0,0,0,0
bemused,ошеломленный,şaşkın,çaşmış,0,0,neu,0,0,0,0,0,0,0,0
bench,скамья,bank,dəzgah,0,0,neu,0,0,0,0,0,0,0,0
bend,изгиб,viraj,əymək,0,0,neu,0,0,0,0,0,0,0,0
bender,клещи,alem,əyilmək,0,neg,0,0,0,0,0,0,0,0,0
bending,изгиб,bükme,əyilmə,0,0,neu,0,0,0,0,0,0,0,0
beneath,под,altında,altında,0,0,neu,0,0,0,0,0,0,0,0
benefactor,благодетель,hayırsever,xeyirxah,pos,0,0,0,0,0,0,0,0,0,tru
beneficial,выгодный,yararlı,faydalı,pos,0,0,0,0,0,0,0,0,0,0
beneficiary,бенефициар,lehtar,faydalanan,0,0,neu,0,0,0,0,0,0,0,0
benefit,выгода,fayda,fayda,pos,0,0,0,0,0,0,0,0,0,0
benevolence,благожелательность,yardımseverlik,xeyirxahlıq,pos,0,0,0,0,0,0,joy,0,0,tru
benign,доброкачественный,iyi huylu,xeyirxah,pos,0,0,0,0,0,0,joy,0,0,0
bent,изогнутый,bükülmüş,əyilmiş,0,0,neu,0,0,0,0,0,0,0,0
benzene,бензол,benzen,benzol,0,0,neu,0,0,0,0,0,0,0,0
bequeath,завещать,miras bırakmak,vəsiyyət etmək,0,0,neu,0,0,0,0,0,0,0,0
bequest,наследство,miras,vəsiyyət etmək,0,0,neu,0,0,0,0,0,0,0,tru
bereaved,бездетным,yakınını kaybetmiş,ölən,0,neg,0,0,0,0,0,0,sad,0,0
bereavement,тяжелая утрата,kayıp,rəhmətlik,0,neg,0,0,0,0,0,0,sad,0,0
bereft,лишенный,yoksun,əldən,0,neg,0,0,0,0,0,0,0,0,0
bergamot,бергамот,bergamot,berqamot,0,0,neu,0,0,0,0,0,0,0,0
berlin,Берлин,Berlin,berlin,0,0,neu,0,0,0,0,0,0,0,0
berserk,неистовый,çılgın,əsəbi,0,neg,0,ang,0,0,0,0,0,0,0
berth,причал,yatak,çardaq,pos,0,0,0,0,0,0,0,0,0,0
beseech,просить,yalvarmak,yalvarmaq,0,0,neu,0,0,0,0,0,0,0,0
beset,осаждать,sarmak,əhatə,0,0,neu,0,0,0,0,0,0,0,0
bestial,животный,hayvani,heyvan,0,neg,0,0,0,dis,fea,0,0,0,0
bestow,даровать,bağışlamak,bəxş etmək,0,0,neu,0,0,0,0,0,0,0,0
bet,ставка,bahis,bahis,0,0,neu,0,0,0,0,0,0,0,0
betray,предавать,açığa vurmak,xəyanət etmək,0,neg,0,ang,0,dis,0,0,sad,sur,0
betrayal,предательство,ihanet,xəyanət,0,neg,0,ang,0,dis,0,0,sad,0,0
betrothed,обручена,nişanlı,nişanlı,pos,0,0,0,ant,0,0,joy,0,0,tru
betterment,улучшение,şerefiye,yaxşılaşma,pos,0,0,0,0,0,0,0,0,0,0
betting,пари,Bahis,bahis,0,0,neu,0,0,0,0,0,0,0,0
betty,Бетти,Betty,betti,0,0,neu,0,0,0,0,0,0,0,0
bevel,скос,konik,əymək,0,0,neu,0,0,0,0,0,0,0,0
beverage,напиток,içecek,içki,pos,0,0,0,0,0,0,0,0,0,0
bevy,собрание,kuş sürüsü,ikiqat,0,0,neu,0,0,0,0,0,0,0,0
beware,остерегаться,dikkat,ehtiyatlan,0,neg,0,0,ant,0,fea,0,0,0,0
bewildered,смущенный,şaşkın,çaşqın,0,neg,0,0,0,0,fea,0,0,sur,0
bewilderment,недоумение,şaşkınlık,çaşqınlıq,0,0,neu,0,0,0,fea,0,0,sur,0
bias,смещение,önyargı,qərəz,0,neg,0,ang,0,0,0,0,0,0,0
biased,тенденциозный,önyargılı,qeyri-obyektiv,0,neg,0,0,0,0,0,0,0,0,0
bib,нагрудник,mama önlüğü,bib,0,0,neu,0,0,0,0,0,0,0,0
biblical,библейский,İncil'deki,bibliya,pos,0,0,0,0,0,0,0,0,0,0
bibliography,библиография,kaynakça,biblioqrafiya,0,0,neu,0,0,0,0,0,0,0,0
bickering,спор,çekişme,mübahisə,0,neg,0,ang,0,dis,0,0,0,0,0
bicolor,двухцветный,bicolor,iki rəngli,0,0,neu,0,0,0,0,0,0,0,0
bicycle,велосипед,bisiklet,velosiped,0,0,neu,0,0,0,0,0,0,0,0
bid,заявка,teklif,təklif,0,0,neu,0,0,0,0,0,0,0,0
bidder,покупатель,teklifçi,iddiaçı,0,0,neu,0,0,0,0,0,0,0,0
bidding,торги,teklif verme,təklif,0,0,neu,0,0,0,0,0,0,0,0
biennial,двухгодичный,iki yıllık,ikiillik,0,0,neu,0,ant,0,0,0,0,0,0
bier,похоронные дроги,cenaze teskeresi,bier,0,neg,0,0,0,0,fea,0,sad,0,0
bifurcation,раздвоение,çatallanma,bifurkasiya,0,0,neu,0,0,0,0,0,0,0,0
big,большой,büyük,böyük,0,0,neu,0,0,0,0,0,0,0,0
bigot,фанатик,yobaz,böyük,0,neg,0,ang,0,dis,fea,0,0,0,0
bigoted,нетерпимый,bağnaz,təəssübkeş,0,neg,0,ang,0,dis,fea,0,sad,0,0
bike,велосипед,bisiklet,velosiped,0,0,neu,0,0,0,0,0,0,0,0
bilateral,двусторонний,iki taraflı,ikitərəfli,0,0,neu,0,0,0,0,0,0,0,0
bilayer,двойной слой,iki tabakalı,iki qatlı,0,0,neu,0,0,0,0,0,0,0,0
bile,желчь,safra,safra,0,neg,0,ang,0,dis,0,0,0,0,0
bilge,днище,sintine,məxmər,0,0,neu,0,0,0,0,0,0,0,0
bilingual,двуязычный,iki dil bilen,ikidilli,pos,0,0,0,0,0,0,0,0,0,0
bill,счет,fatura,hesab,0,0,neu,0,0,0,0,0,0,0,0
billet,заготовка,kütük,kütük,0,0,neu,0,0,0,0,0,0,0,0
billiards,бильярд,bilardo,bilyard,0,0,neu,0,0,0,0,0,0,0,0
billion,миллиард,milyar,milyard,0,0,neu,0,0,0,0,0,0,0,0
billy,Билли,cop,billi,0,0,neu,0,0,0,0,0,0,0,0
bimonthly,раз в два месяца,iki ayda bir,iki ayda bir,0,0,neu,0,0,0,0,0,0,0,0
bin,бункер,çöp kutusu,zibil qabı,0,0,neu,0,0,0,0,0,0,0,0
binary,двоичный,ikili,ikili,0,0,neu,0,0,0,0,0,0,0,0
bind,связывать,bağlamak,bağlamaq,0,0,neu,0,0,0,0,0,0,0,0
bindery,переплетная,ciltevi,bağlayıcı,0,0,neu,0,0,0,0,0,0,0,0
binding,обязательный,bağlayıcı,bağlayıcı,0,0,neu,0,0,0,0,0,0,0,0
bing,Bing,bing,bing,0,0,neu,0,0,0,0,0,0,0,0
binocular,бинокулярный,iki gözlü,durbin,0,0,neu,0,0,0,0,0,0,0,0
binoculars,бинокль,dürbün,durbin,0,0,neu,0,0,0,0,0,0,0,0
binomial,бином,iki terimli,binomial,0,0,neu,0,0,0,0,0,0,0,0
biogenesis,биогенез,biogenesis,biogenez,0,0,neu,0,0,0,0,0,0,0,0
biographer,биограф,biyografi yazarı,bioqraf,0,0,neu,0,0,0,0,0,0,0,0
biography,биография,biyografi,tərcümeyi -halı,0,0,neu,0,0,0,0,0,0,0,0
biology,биология,biyoloji,biologiya,0,0,neu,0,0,0,0,0,0,0,0
biopsy,биопсия,biyopsi,biopsiya,0,neg,0,0,0,0,fea,0,0,0,0
biosphere,биосфера,biyosfer,biosfer,0,0,neu,0,0,0,0,0,0,0,0
bipartite,двусторонний,ikili,ikitərəfli,0,0,neu,0,0,0,0,0,0,0,0
birch,береза,huş ağacı,ağcaqayın,0,neg,0,ang,0,dis,fea,0,0,0,0
bird,птица,kuş,quş,0,0,neu,0,0,0,0,0,0,0,0
birth,рождение,doğum,doğuş,pos,0,0,0,ant,0,fea,joy,0,0,tru
birthday,день рождения,doğum günü,Ad günü,pos,0,0,0,ant,0,0,joy,0,sur,0
birthplace,родина,doğum yeri,doğum yeri,0,neg,0,ang,0,0,0,0,0,0,0
birthright,право по рождению,birthright,doğum haqqı,0,0,neu,0,0,0,0,0,0,0,0
bis,бис,bis,bis,0,0,neu,0,0,0,0,0,0,0,0
bisexual,бисексуал,biseksüel,biseksual,0,0,neu,0,0,0,0,0,0,0,0
bishop,епископ,piskopos,yepiskop,0,0,neu,0,0,0,0,0,0,0,0
bison,бизон,bizon,bizon,0,0,neu,0,0,0,0,0,0,0,0
bit,немного,bit,bit,0,0,neu,0,0,0,0,0,0,0,0
bitch,сука,orospu,orospu,0,neg,0,ang,0,dis,fea,0,sad,0,0
bite,укусить,ısırık,dişləmək,0,neg,0,0,0,0,0,0,0,0,0
bitterly,горько,acı,acı -acı,0,neg,0,ang,0,dis,0,0,sad,0,0
bitterness,горечь,acılık,acılıq,0,neg,0,ang,0,dis,0,0,sad,0,0
bitumen,битум,bitüm,bitum,0,0,neu,0,0,0,0,0,0,0,0
biweekly,раз в две недели,iki haftada bir,iki həftəlik,0,0,neu,0,0,0,0,0,0,0,0
bizarre,странный,tuhaf,qəribə,0,neg,0,0,0,0,0,0,0,sur,0
black,черный,siyah,qara,0,neg,0,0,0,0,0,0,sad,0,0
blackberry,ежевика,böğürtlen,böyürtkən,0,0,neu,0,0,0,0,0,0,0,0
blackboard,классная доска,tahta,yazı taxtası,0,0,neu,0,0,0,0,0,0,0,0
blackjack,дубинка,blackjack,blackjack,0,neg,0,0,0,0,0,0,0,0,0
blackmail,шантаж,şantaj,şantaj,0,neg,0,ang,0,0,fea,0,0,0,0
blackness,чернота,siyahlık,qaranlıq,0,neg,0,0,0,0,fea,0,sad,0,0
blacksmith,кузнец,demirci,dəmirçi,0,0,neu,0,0,0,0,0,0,0,0
bladder,мочевой пузырь,mesane,mesane,0,0,neu,0,0,0,0,0,0,0,0
blade,лезвие,kılıç,bıçaq,0,0,neu,0,0,0,0,0,0,0,0
blame,вина,suçlama,günahlandırmaq,0,neg,0,ang,0,dis,0,0,0,0,0
blameless,безупречный,suçsuz,qüsursuz,pos,0,0,0,0,0,0,0,0,0,0
bland,мягкий,mülayim,mülayim,0,neg,0,0,0,0,0,0,0,0,0
blank,пустой,boş,boş,0,0,neu,0,0,0,0,0,0,0,0
blanket,одеяло,battaniye,yorğan,0,0,neu,0,0,0,0,0,0,0,tru
blasphemous,богохульный,kâfir,küfr,0,neg,0,ang,0,dis,0,0,0,0,0
blasphemy,богохульство,küfür,küfr,0,neg,0,ang,0,0,0,0,0,0,0
blast,взрыв,üfleme,partlayış,0,neg,0,ang,0,0,fea,0,0,sur,0
blatant,вопиющий,bariz,aşkar,0,neg,0,ang,0,dis,0,0,0,0,0
blather,болтовня,saçmalık,daha çox,0,neg,0,0,0,0,0,0,0,0,0
blaze,пламя,yangın,alovlanmaq,0,neg,0,ang,0,0,0,0,0,0,0
blazing,полыхающий,yanan,alovlu,0,0,neu,0,0,0,0,0,0,0,0
bleach,отбеливатель,ağartıcı,ağartıcı,0,0,neu,0,0,0,0,0,0,0,0
bleak,мрачный,kasvetli,qaranlıq,0,neg,0,0,0,0,0,0,sad,0,0
bleeding,кровотечение,kanama,qanaxma,0,neg,0,0,0,dis,fea,0,sad,0,0
blemish,пятно,leke,ləkə,0,neg,0,ang,0,dis,fea,0,sad,0,0
blend,смесь,harman,qarışdırmaq,0,0,neu,0,0,0,0,0,0,0,0
blending,смешивание,karıştırma,qarışdırma,0,0,neu,0,0,0,0,0,0,0,0
bless,благословить,kutsamak,xeyir -dua ver,pos,0,0,0,ant,0,0,joy,0,0,tru
blessed,благословенный,mübarek,mübarək,pos,0,0,0,0,0,0,joy,0,0,0
blessing,благословение,nimet,xeyir -dua,pos,0,0,0,ant,0,0,joy,0,0,tru
blessings,благословения,nimetler,xeyir -dua,pos,0,0,0,ant,0,0,joy,0,sur,tru
blight,отравлять,yıkım,bəla,0,neg,0,0,0,dis,fea,0,sad,0,0
blighted,омрачена,boşa,bədbəxt,0,neg,0,0,0,dis,0,0,sad,0,0
blind,слепой,kör,kor,0,neg,0,0,0,0,0,0,0,0,0
blinded,ослепил,kör,kor,0,neg,0,0,0,0,0,0,0,0,0
blindfold,с завязанными глазами,körü körüne,gözü bağlı,0,0,neu,0,ant,0,fea,0,0,sur,0
blindfolded,с завязанными глазами,Gözlerim bağlı,gözü bağlı,0,0,neu,0,0,0,0,0,0,0,0
blindly,слепо,körü körüne,kor -koranə,0,neg,0,0,0,0,0,0,sad,0,0
blindness,слепота,körlük,korluq,0,neg,0,0,0,0,0,0,sad,0,0
blink,мигать,kırpmak,göz qırpmaq,0,0,neu,0,0,0,0,0,0,0,0
bliss,блаженство,mutluluk,zövq,pos,0,0,0,0,0,0,joy,0,0,0
blissful,блаженный,mutlu,xoşbəxt,pos,0,0,0,0,0,0,joy,0,0,0
blister,волдырь,kabarcık,blister,0,neg,0,0,0,dis,0,0,0,0,0
blitz,блицкриг,hava saldırısı,blits,0,0,neu,0,0,0,0,0,0,sur,0
blizzard,метель,kar fırtınası,çovğun,0,0,neu,0,0,0,0,0,0,0,0
bloated,раздутый,şişmiş,şişkin,0,neg,0,0,0,dis,0,0,0,0,0
blob,капля,damla,ləkə,0,neg,0,0,0,dis,fea,0,0,0,0
block,блок,blok,blok,0,0,neu,0,0,0,0,0,0,0,0
blockade,блокада,abluka,blokada,0,neg,0,ang,0,0,fea,0,sad,0,0
blond,блондин,sarışın,sarışın,0,0,neu,0,0,0,0,0,0,0,0
blood,кровь,kan,qan,0,0,neu,0,0,0,0,0,0,0,0
bloodhound,ищейка,tazı,qan ovu,0,0,neu,0,0,0,0,0,0,0,0
bloodless,бескровный,kansız,qansız,pos,0,0,0,0,0,0,0,0,0,0
bloodshed,кровопролитие,katliam,qan tökmək,0,neg,0,ang,0,dis,fea,0,sad,sur,0
bloodthirsty,кровожадный,kana susamış,qaniçən,0,neg,0,ang,0,dis,fea,0,0,0,0
bloody,кровавый,kanlı,qanlı,0,neg,0,ang,0,dis,fea,0,sad,0,0
bloom,цветение,çiçek,çiçək açmaq,pos,0,0,0,ant,0,0,joy,0,0,tru
blossom,цвести,çiçek,çiçək açmaq,pos,0,0,0,0,0,0,joy,0,0,0
blot,пятно,leke,ləkələmək,0,neg,0,0,0,0,0,0,0,0,0
blouse,блузка,bluz,bluza,0,0,neu,0,0,0,0,0,0,0,0
blower,вентилятор,üfleyici,üfleyici,0,neg,0,0,0,0,0,0,0,0,0
blowing,дующий,üfleme,əsən,0,0,neu,0,0,0,0,0,0,0,0
blown,взорван,şişmiş,partladılmış,0,0,neu,0,0,0,0,0,0,0,0
blowout,задуть,üflemek,partlayış,0,neg,0,0,0,0,0,0,0,0,0
blue,синий,mavi,mavi,0,0,neu,0,0,0,0,0,sad,0,0
blues,блюз,hüzün,blues,0,neg,0,0,0,0,fea,0,sad,0,0
bluff,блеф,blöf,blöf,0,neg,0,0,0,0,0,0,0,0,0
bluish,голубоватый,mavimsi,mavimsi,0,0,neu,0,0,0,0,0,0,0,0
blunder,ошибка,gaf,səhv etmək,0,neg,0,0,0,dis,0,0,sad,0,0
blunt,тупой,kör,küt,0,0,neu,0,0,0,0,0,0,0,0
blur,пятно,bulanıklık,bulanmaq,0,neg,0,0,0,0,0,0,0,0,0
blurred,расплывчатый,bulanık,bulanık,0,neg,0,0,0,0,0,0,0,0,0
blush,румянец,kızarmak,qızarmaq,0,neg,0,0,0,0,0,0,0,0,0
blushing,застенчивый,kızarma,qızartmaq,0,0,neu,0,0,0,0,0,0,0,0
boa,удав,boa yılanı,boa,0,0,neu,0,0,0,0,0,0,0,0
boar,кабан,domuz,qaban,0,0,neu,0,0,0,0,0,0,0,0
board,доска,tahta,lövhə,0,0,neu,0,ant,0,0,0,0,0,0
boarder,пансионер,yatılı öğrenci,yataqxana,0,0,neu,0,0,0,0,0,0,0,0
boarding,посадка,yatılı,internat,0,0,neu,0,0,0,0,0,0,0,0
boards,Доски,Komiteler,lövhələr,0,0,neu,0,0,0,0,0,0,0,0
boast,хвастовство,övünme,öyünmək,pos,neg,0,0,0,0,0,0,0,0,0
boasting,хвастовство,övünme,öyünmək,0,neg,0,0,0,0,0,0,0,0,0
boat,лодка,tekne,qayıq,0,0,neu,0,0,0,0,0,0,0,0
boating,гребля,kürek çekme,qayıq,0,0,neu,0,0,0,0,0,0,0,0
bobbin,бобина,bobin,bobin,0,0,neu,0,0,0,0,0,0,0,0
bode,сулить,alâmet olmak,bode,0,0,neu,0,0,0,0,0,0,0,0
bodice,корсаж,korse,bodice,0,0,neu,0,0,0,0,0,0,0,0
bodily,телесный,bedensel,bədəncə,0,0,neu,0,0,0,0,0,0,0,0
body,тело,vücut,bədən,0,0,neu,0,0,0,0,0,0,0,0
bodyguard,телохранитель,koruma,cangüdən,pos,0,0,0,0,0,0,0,0,0,tru
bog,болото,bataklık,bataqlıq,0,neg,0,0,0,0,0,0,0,0,0
bogus,фиктивный,sahte,saxta,0,neg,0,ang,0,dis,0,0,0,0,0
boil,кипятить,çıban,Qaynamaq,0,neg,0,0,0,dis,0,0,0,0,0
boiler,котел,kazan,qazan,0,0,neu,0,0,0,0,0,0,0,0
boilerplate,шаблонный,Demirbaş,qazan plitəsi,0,neg,0,0,0,0,0,0,0,0,0
boiling,кипения,kaynama,qaynama,0,0,neu,0,0,0,0,0,0,0,0
boisterous,неистовый,fırtınalı,gurultulu,pos,neg,0,ang,ant,0,0,joy,0,0,0
bold,смелый,cesur,qalın,pos,0,0,0,0,0,0,0,0,0,0
boldness,смелость,cesaret,cəsarət,pos,0,0,0,0,0,0,0,0,0,0
bolster,поддерживать,yastık,gücləndirmək,pos,0,0,0,0,0,0,0,0,0,0
bolt,болт,sürgü,bolt,0,0,neu,0,0,0,0,0,0,0,0
bolus,пилюля,büyük hap,bolus,0,0,neu,0,0,0,0,0,0,0,0
bomb,бомба,bomba,bomba,0,neg,0,ang,0,0,fea,0,sad,sur,0
bombard,бомбардировать,bombalamak,bombardman,0,neg,0,ang,0,0,fea,0,0,0,0
bombardment,бомбардировка,bombardıman,bombardman,0,neg,0,ang,0,0,fea,0,0,0,0
bombed,бомбили,bombalandı,bombalandı,0,neg,0,0,0,dis,0,0,0,0,0
bomber,бомбардировщик,bombacı,bombardmançı,0,0,neu,0,0,0,fea,0,sad,0,0
bonanza,золотое дно,bolluk,bonanza,pos,0,0,0,0,0,0,joy,0,0,0
bond,связь,tahvil,istiqraz,0,0,neu,0,0,0,0,0,0,0,0
bondage,рабство,esaret,əsarət,0,neg,0,0,0,0,fea,0,sad,0,0
bonds,облигации,tahviller,istiqrazlar,0,neg,0,0,0,0,0,0,0,0,0
bone,кость,kemik,sümük,0,0,neu,0,0,0,0,0,0,0,0
boner,промах,gaf,sümük,0,0,neu,0,0,0,0,0,0,0,0
bones,кости,Kemikler,sümüklər,0,0,neu,0,0,0,0,0,0,0,0
bonfire,костер,şenlik ateşi,tonqal,0,0,neu,0,0,0,0,0,0,0,0
bonne,бонна,bonne,bonne,pos,0,0,0,0,0,0,0,0,0,0
bonnet,капот,kaput,kapot,0,0,neu,0,0,0,0,0,0,0,0
bonus,бонус,bonus,bonus,pos,0,0,0,ant,0,0,joy,0,sur,0
bony,костлявый,kemikli,sümüklü,0,0,neu,0,0,0,0,0,0,0,0
boo,фу,boo,boo,0,neg,0,0,0,0,0,0,0,0,0
boob,болван,ahmak,boob,0,0,neu,0,0,0,0,0,0,0,0
booby,балбес,meme,booby,0,neg,0,0,0,0,0,0,0,0,0
book,книга,kitap,kitab,0,0,neu,0,0,0,0,0,0,0,0
bookcase,книжный шкаф,kitaplık,kitab şkafı,0,0,neu,0,0,0,0,0,0,0,0
booking,бронирование,rezervasyon,sifariş,0,0,neu,0,0,0,0,0,0,0,0
bookish,книжный,kitapsever,kitabçı,pos,0,0,0,0,0,0,0,0,0,0
bookkeeper,бухгалтер,muhasebeci,mühasib,0,0,neu,0,0,0,0,0,0,0,0
bookkeeping,бухгалтерия,defter tutma,mühasibatlıq,0,0,neu,0,0,0,0,0,0,0,0
booklet,буклет,kitapçık,kitabça,0,0,neu,0,0,0,0,0,0,0,0
books,книги,Kitaplar,Kitablar,0,0,neu,0,0,0,0,0,0,0,0
bookseller,продавец книг,kitapçı,kitab satıcısı,0,0,neu,0,0,0,0,0,0,0,0
bookshop,книжный магазин,kitapçı,kitab mağazası,pos,0,0,0,0,0,0,0,0,0,0
bookstore,книжный магазин,kitapçı,kitab mağazası,0,0,neu,0,0,0,0,0,0,0,0
bookworm,книжный червь,kitap kurdu,kitab qurdu,pos,neg,0,0,0,0,0,0,0,0,0
boomerang,бумеранг,bumerang,bumeranq,0,0,neu,0,ant,0,0,0,0,0,tru
booming,растущий,gürleyen,çiçəklənən,0,0,neu,0,0,0,0,0,0,0,0
boon,благо,nimet,nemət,pos,0,0,0,0,0,0,0,0,0,0
boost,повышение,artırmak,artırmaq,0,0,neu,0,0,0,0,0,0,0,0
booster,бустер,yükseltici,gücləndirici,0,0,neu,0,0,0,0,0,0,0,0
boot,ботинок,çizme,çəkmə,0,0,neu,0,0,0,0,0,0,0,0
booth,стенд,kabin,köşk,0,0,neu,0,0,0,0,0,0,0,0
boots,ботинки,bot,çəkmələr,0,0,neu,0,0,0,0,0,0,0,0
booty,добыча,ganimet,qənimət,0,0,neu,0,0,0,0,0,0,0,0
booze,выпивка,alem,içki,0,neg,0,0,0,0,0,0,0,0,0
border,граница,sınır,sərhəd,0,0,neu,0,0,0,0,0,0,0,0
bordering,окаймляющий,çevreleyen,həmsərhəd,0,0,neu,0,0,0,0,0,0,0,0
bore,отверстие,delik,darıxdı,0,neg,0,0,0,0,0,0,0,0,0
boreal,северный,kuzey,boreal,0,0,neu,0,0,0,0,0,0,0,0
boredom,скука,can sıkıntısı,cansıxıcılıq,0,neg,0,0,0,0,0,0,sad,0,0
borer,бур,matkap,cansıxıcı,0,0,neu,0,0,0,0,0,0,0,0
boring,скучный,sıkıcı,cansıxıcı,0,neg,0,0,0,0,0,0,0,0,0
borough,район,ilçe,rayon,0,0,neu,0,0,0,0,0,0,0,0
borrow,заимствовать,ödünç almak,borc almaq,0,0,neu,0,0,0,0,0,0,0,0
borrower,заемщик,Borçlu,borc alan,0,neg,0,0,0,0,0,0,0,0,0
bosom,грудь,kucak,qoltuq,0,0,neu,0,0,0,0,0,0,0,0
boss,босс,patron,patron,0,0,neu,0,0,0,0,0,0,0,0
boston,Бостон,boston,boston,0,0,neu,0,0,0,0,0,0,0,0
botanical,ботанический,botanik,botanika,0,0,neu,0,0,0,0,0,0,0,0
botanist,ботаник,botanikçi,botanik,0,0,neu,0,0,0,0,0,0,0,0
botany,ботаника,botanik,botanika,0,0,neu,0,0,0,0,0,0,0,0
bother,беспокоить,zahmet,narahat olmaq,0,neg,0,0,0,0,0,0,0,0,0
bothering,беспокоит,rahatsız,narahat edən,0,neg,0,ang,0,0,0,0,sad,0,0
bottle,бутылка,şişe,şüşə,0,0,neu,0,0,0,0,0,0,0,0
bottom,низ,alt,alt,0,neg,0,0,0,0,0,0,sad,0,0
bottomless,бездонный,dipsiz,dibsiz,0,0,neu,0,0,0,fea,0,0,0,0
boulder,валун,aşınmış kaya parçası,daş,0,0,neu,0,0,0,0,0,0,0,0
bounce,отскок,sıçrama,sıçrama,0,0,neu,0,0,0,0,0,0,0,0
bound,граница,bağlı,bağlı,0,neg,0,0,0,0,0,0,0,0,0
boundary,граница,sınır,sərhəd,0,0,neu,0,0,0,0,0,0,0,0
boundless,безграничный,sınırsız,sərhədsiz,0,0,neu,0,0,0,0,0,0,0,0
bounds,границы,sınırları,sərhədlər,0,0,neu,0,0,0,0,0,0,0,0
bountiful,обильный,bol,bol,pos,0,0,0,ant,0,0,joy,0,0,0
bounty,щедрость,cömertlik,lütf,pos,0,0,0,ant,0,0,joy,0,0,tru
bouquet,букет,buket,buket,pos,0,0,0,0,0,0,joy,0,0,tru
bourgeois,буржуа,burjuva,burjua,0,0,neu,0,0,0,0,0,0,0,0
bourgeoisie,буржуазия,burjuvazi,burjuaziya,0,0,neu,0,0,0,0,0,0,0,0
bourse,парижская фондовая биржа,borsa,borsa,0,0,neu,0,0,0,0,0,0,0,0
bout,бой,müddet,dava,0,neg,0,ang,0,0,0,0,0,0,0
bovine,бычий,sığır,inək,0,neg,0,0,0,dis,0,0,0,0,0
bowed,поклонился,eğdi,əyildi,0,0,neu,0,0,0,0,0,0,0,0
bowels,недра,bağırsak,bağırsaq,0,0,neu,0,0,dis,0,0,0,0,0
bowl,чаша,çanak,qab,0,0,neu,0,0,0,0,0,0,0,0
bowls,чаши,kaseler,qablar,0,0,neu,0,0,0,0,0,0,0,0
box,коробка,kutu,Qutu,0,0,neu,0,0,0,0,0,0,0,0
boxer,боксер,boksör,boksçu,0,0,neu,0,0,0,0,0,0,0,0
boxing,бокс,boks,boks,0,0,neu,ang,0,0,0,0,0,0,0
boy,мальчик,oğlan,oğlan,0,neg,0,0,0,dis,0,0,0,0,0
boycott,бойкот,boykot,boykot,0,neg,0,0,0,0,0,0,0,0,0
boyhood,отрочество,çocukluk çağı,uşaqlıq,0,0,neu,0,0,0,0,0,0,0,0
boyish,мальчишеский,çocuksu,oğlan,0,0,neu,0,0,0,0,0,0,0,0
brace,скоба,ayraç,kəmər,0,0,neu,0,0,0,0,0,0,0,0
bracelet,браслет,bilezik,bilərzik,0,0,neu,0,0,0,0,0,0,0,0
braces,подтяжки,parantezi,aşırma,0,0,neu,0,0,0,0,0,0,0,0
brachial,плечевой,brakiyal,brakiyal,0,0,neu,0,0,0,0,0,0,0,0
bracket,скобка,dirsek,mötərizə,0,0,neu,0,0,0,0,0,0,0,0
brackets,кронштейны,parantez,mötərizələr,0,0,neu,0,0,0,0,0,0,0,0
brackish,солоноватый,acı,acı,0,0,neu,0,0,0,0,0,0,0,0
brad,штифтик,başsız çivi,brad,0,0,neu,0,0,0,0,0,0,0,0
brag,хвастаться,övünmek,lovğalanmaq,0,neg,0,0,0,0,0,0,0,0,0
braid,оплетка,örgü,örgü,0,0,neu,0,0,0,0,0,0,0,0
brain,мозг,beyin,beyin,0,0,neu,0,0,0,0,0,0,0,0
brains,мозги,beyin,beyinlər,pos,0,0,0,0,0,0,0,0,0,0
brainstorm,блестящая идея,cinnet krizi,beyin fırtınası,0,0,neu,0,0,0,0,0,0,0,0
brake,тормоз,fren,əyləc,0,0,neu,0,0,0,0,0,0,0,0
bran,отруби,kepek,kəpək,0,0,neu,0,0,dis,0,0,0,0,0
branch,филиал,şube,filial,0,0,neu,0,0,0,0,0,0,0,0
branching,разветвление,dallanma,dallanma,0,0,neu,0,0,0,0,0,0,0,0
brandy,бренди,Brendi,brendi,0,neg,0,0,0,0,0,0,0,0,0
brass,латунь,pirinç,pirinç,0,0,neu,0,0,0,0,0,0,0,0
